Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,58.119789,58.385139,57.695225,57.960575,55.544521,2651718
2014-01-03,57.960575,58.347233,57.869598,58.043972,55.624432,1570665
2014-01-06,58.339649,58.536770,57.505688,57.536011,55.137630,2579700
2014-01-07,57.733131,58.051556,57.573921,58.013645,55.595375,2646442
2014-01-08,57.915089,58.316906,57.831692,58.043972,55.624432,3002704
2014-01-09,58.468536,58.809704,58.059135,58.741470,56.292850,4068587
2014-01-10,58.832451,58.931007,58.278999,58.893101,56.438164,2726637
2014-01-13,58.620167,58.794540,57.687641,57.733131,55.326534,3392468
2014-01-14,58.840031,59.363155,58.301743,59.332829,56.859550,6122930
2014-01-15,59.385899,59.416225,58.900681,59.294922,56.823231,3734353
2014-01-16,59.294922,59.620926,59.166035,59.537529,57.055729,3320714
2014-01-17,59.613342,59.613342,58.877937,59.037148,56.576191,3479918
2014-01-21,59.590599,59.742229,58.885517,59.135708,56.670650,6464683
2014-01-22,59.173615,59.294922,58.453373,59.090221,56.627068,3433093
2014-01-23,58.529190,58.650494,58.150112,58.460957,56.024033,2405460
2014-01-24,57.877178,58.066715,56.194084,56.201668,53.858917,5300402
2014-01-27,56.398788,56.702045,55.837757,56.178925,53.837116,4740618
2014-01-28,56.838512,58.051556,56.209248,57.020470,54.643597,5764558
2014-01-29,56.497345,57.445034,56.489765,56.959820,54.585457,5055727
2014-01-30,57.194843,57.376801,56.747536,57.088703,54.708981,4365099
2014-01-31,56.307808,56.868839,56.050037,56.398788,54.047821,4247048
2014-02-03,56.504929,56.959820,54.965881,55.011372,52.718243,5571720
2014-02-04,55.208492,55.625473,54.829414,55.291889,52.987064,4525357
2014-02-05,55.041698,55.276726,54.503410,54.958302,52.667393,3593484
2014-02-06,54.814255,55.898407,54.692947,55.883244,53.553764,3931148
2014-02-07,56.322971,57.081123,55.989388,56.952236,54.578205,4158411
2014-02-10,57.058376,57.058376,56.535255,56.914330,54.541882,4141792
2014-02-11,57.141773,57.528431,56.959820,57.156937,54.774376,3325067
2014-02-12,57.391964,57.604244,57.134193,57.278240,54.890614,2762250
2014-02-13,56.800606,57.862019,56.694466,57.786201,55.377396,3174965
