Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,35.029999,35.200001,34.750000,34.810001,29.941231,6213100
2014-01-03,34.779999,35.009998,34.630001,34.750000,29.889622,5300700
2014-01-06,34.849998,34.939999,34.380001,34.529999,29.700390,7413700
2014-01-07,34.520000,34.930000,34.500000,34.810001,29.941231,6846400
2014-01-08,34.700001,34.860001,34.590000,34.820000,29.949827,9278100
2014-01-09,34.580002,35.400002,34.549999,35.360001,30.414293,10606400
2014-01-10,35.490002,35.840000,35.209999,35.799999,30.792765,12548600
2014-01-13,35.580002,35.790001,35.099998,35.200001,30.276674,11635200
2014-01-14,34.240002,35.630001,34.230000,35.400002,30.448700,8904100
2014-01-15,35.389999,35.939999,35.200001,35.700001,30.706745,12169900
2014-01-16,35.669998,36.049999,35.310001,35.700001,30.706745,14005000
2014-01-17,35.480000,35.680000,34.990002,35.250000,30.319683,17191700
2014-01-21,34.900002,34.900002,33.959999,34.450001,29.631577,27921700
2014-01-22,34.580002,34.869999,34.400002,34.450001,29.631577,10833100
2014-01-23,34.310001,34.669998,34.130001,34.450001,29.631577,9557100
2014-01-24,34.470001,34.480000,33.619999,33.650002,28.943480,22597800
2014-01-27,33.639999,33.860001,33.400002,33.610001,28.909061,8846100
2014-01-28,33.560001,33.980000,33.540001,33.730000,29.012297,7511100
2014-01-29,33.320000,33.500000,32.900002,32.990002,28.375776,14317400
2014-01-30,32.990002,33.270000,32.910000,32.930000,28.324173,8166000
2014-01-31,32.310001,33.049999,32.279999,32.759998,28.177956,11070200
2014-02-03,32.799999,32.799999,32.020000,32.080002,27.593069,13054300
2014-02-04,32.259998,32.290001,31.870001,32.009998,27.532856,9187900
2014-02-05,31.840000,32.279999,31.840000,32.090000,27.601660,8234100
2014-02-06,32.200001,32.799999,32.139999,32.700001,28.126352,7092200
2014-02-07,32.930000,33.060001,32.689999,32.930000,28.324173,7182600
2014-02-10,32.790001,33.139999,32.750000,33.119999,28.487602,4559900
2014-02-11,32.990002,33.410000,32.900002,33.279999,28.625214,6556100
2014-02-12,33.470001,33.470001,33.049999,33.209999,28.565008,7560300
2014-02-13,32.869999,34.040001,32.779999,34.009998,29.253120,11350400
2014-02-14,33.830002,34.279999,33.770000,34.119999,29.347731,9097000
2014-02-18,34.250000,34.310001,33.939999,34.189999,29.407948,9416100
2014-02-19,34.020000,34.349998,33.980000,34.259998,29.468153,8617300
2014-02-20,34.209999,34.779999,34.189999,34.480000,29.657383,7998000
2014-02-21,34.950001,34.950001,34.299999,34.299999,29.502552,8145900
2014-02-24,34.259998,34.669998,34.230000,34.400002,29.588572,7195600
2014-02-25,34.419998,34.500000,33.950001,33.950001,29.201509,12648000
2014-02-26,33.959999,34.220001,33.810001,33.919998,29.175703,6744000
2014-02-27,33.759998,33.939999,33.669998,33.849998,29.115496,9536700
2014-02-28,33.340000,34.240002,33.240002,34.029999,29.270323,11922800
2014-03-03,33.700001,33.880001,33.580002,33.799999,29.072493,7875400
2014-03-04,34.000000,34.380001,33.919998,34.310001,29.511158,6428300
2014-03-05,33.880001,34.490002,33.830002,34.330002,29.528358,8783000
2014-03-06,34.459999,34.939999,34.110001,34.880001,30.001440,12001000
2014-03-07,34.970001,35.090000,34.599998,35.080002,30.173464,10259700
2014-03-10,35.160000,35.200001,34.849998,35.080002,30.173464,9061600
2014-03-11,35.029999,35.279999,34.910000,34.970001,30.078857,7663100
2014-03-12,34.669998,34.930000,34.459999,34.900002,30.018644,12576000
2014-03-13,35.000000,35.119999,34.369999,34.529999,29.700390,10693500
2014-03-14,34.270000,34.779999,34.220001,34.250000,29.459558,12683000
2014-03-17,34.490002,34.520000,34.070000,34.250000,29.459558,11461900
2014-03-18,34.200001,34.529999,34.070000,34.400002,29.588572,6520400
2014-03-19,34.580002,34.590000,33.810001,34.150002,29.373537,11521700
2014-03-20,34.130001,34.389999,33.970001,34.259998,29.468153,7388100
2014-03-21,34.720001,34.720001,34.029999,34.130001,29.356337,23115100
2014-03-24,33.430000,34.180000,33.430000,33.840000,29.106901,11923300
2014-03-25,34.049999,34.459999,33.950001,34.290001,29.493956,7576700
2014-03-26,34.439999,34.599998,34.169998,34.169998,29.390738,8864600
2014-03-27,33.990002,34.380001,33.939999,34.209999,29.546200,8150800
2014-03-28,34.349998,34.560001,34.270000,34.400002,29.710299,7953900
2014-03-31,34.520000,34.889999,34.439999,34.549999,29.839853,8305400
2014-04-01,34.730000,34.849998,34.400002,34.820000,30.073042,6521200
2014-04-02,34.759998,35.139999,34.730000,34.919998,30.159410,6503600
2014-04-03,34.919998,35.020000,34.650002,34.770000,30.029860,7241600
2014-04-04,35.020000,35.200001,34.439999,34.540001,29.831215,10105100
2014-04-07,34.450001,34.590000,34.130001,34.230000,29.563471,11244700
2014-04-08,34.189999,34.849998,34.169998,34.599998,29.883034,10366900
2014-04-09,34.509998,35.009998,34.509998,34.950001,30.185326,8352900
2014-04-10,34.980000,35.340000,34.639999,34.709999,29.978045,9400500
2014-04-11,34.560001,34.709999,34.200001,34.310001,29.632570,11017700
2014-04-14,34.680000,34.750000,34.180000,34.450001,29.753483,8644300
2014-04-15,34.610001,34.610001,34.029999,34.259998,29.589384,10145100
2014-04-16,34.599998,34.799999,34.310001,34.770000,30.029860,11786700
2014-04-17,34.680000,34.889999,34.490002,34.650002,29.926228,7494000
2014-04-21,34.680000,34.849998,34.610001,34.779999,30.038492,3440300
2014-04-22,34.680000,35.410000,34.669998,35.029999,30.254414,11675800
2014-04-23,34.939999,35.250000,34.930000,35.110001,30.323509,6467400
2014-04-24,35.139999,35.470001,35.070000,35.299999,30.487604,5371500
2014-04-25,35.160000,35.500000,35.060001,35.340000,30.522146,6490500
2014-04-28,35.470001,36.009998,35.400002,35.939999,31.040354,13080100
2014-04-29,36.119999,36.119999,35.459999,35.599998,30.746712,8644200
2014-04-30,35.410000,35.709999,35.340000,35.650002,30.789886,9946000
2014-05-01,35.779999,35.790001,35.340000,35.630001,30.772612,5180700
2014-05-02,35.950001,35.950001,35.349998,35.480000,30.643063,10001300
2014-05-05,35.290001,35.680000,35.270000,35.610001,30.755352,6117000
2014-05-06,35.279999,35.650002,35.180000,35.220001,30.418507,6523700
2014-05-07,37.549999,38.470001,37.500000,38.099998,32.905888,25917300
2014-05-08,37.750000,38.119999,37.599998,37.790001,32.638149,14504700
2014-05-09,37.610001,37.970001,37.520000,37.959999,32.784966,8734600
2014-05-12,38.000000,38.009998,37.459999,37.590000,32.465408,10125300
2014-05-13,37.869999,37.980000,37.660000,37.849998,32.689964,7351000
2014-05-14,37.689999,37.980000,37.549999,37.599998,32.474049,5770400
2014-05-15,37.509998,37.599998,37.110001,37.240002,32.163132,7618500
2014-05-16,37.279999,37.580002,37.080002,37.509998,32.396320,7529500
2014-05-19,37.380001,37.599998,37.320000,37.380001,32.284046,4773500
2014-05-20,37.410000,37.480000,37.189999,37.419998,32.318588,4964900
2014-05-21,37.410000,37.980000,37.400002,37.630001,32.499954,4766500
2014-05-22,37.610001,37.610001,37.279999,37.290001,32.206310,5401500
2014-05-23,37.500000,37.509998,37.189999,37.240002,32.163132,4536600
2014-05-27,37.259998,37.500000,37.250000,37.430000,32.327213,7453100
2014-05-28,37.410000,37.500000,37.259998,37.400002,32.301315,7596900
2014-05-29,37.480000,37.490002,37.330002,37.480000,32.370411,6706900
2014-05-30,37.619999,37.669998,37.320000,37.619999,32.491325,12917000
2014-06-02,37.540001,37.919998,37.439999,37.770000,32.620872,5895100
2014-06-03,37.860001,37.930000,37.540001,37.919998,32.750423,4993600
2014-06-04,37.799999,38.169998,37.709999,38.160000,32.957706,6114700
2014-06-05,38.410000,38.410000,37.919998,38.230000,33.018154,7494200
2014-06-06,38.400002,38.400002,38.139999,38.230000,33.018154,4569900
2014-06-09,38.090000,38.259998,37.970001,38.070000,32.879971,4101100
2014-06-10,37.910000,38.000000,37.630001,37.750000,32.603607,4562200
2014-06-11,37.709999,37.810001,37.470001,37.599998,32.474049,5404600
2014-06-12,37.599998,37.639999,37.139999,37.310001,32.223587,5980800
2014-06-13,37.459999,37.560001,37.299999,37.450001,32.344498,6699700
2014-06-16,37.389999,37.470001,37.150002,37.250000,32.171753,6710700
2014-06-17,37.110001,37.439999,37.000000,37.369999,32.275406,7997400
2014-06-18,37.230000,37.630001,37.150002,37.560001,32.439503,8232600
2014-06-19,37.799999,37.810001,37.369999,37.500000,32.387676,7086000
2014-06-20,37.630001,37.730000,37.360001,37.490002,32.379051,11212500
2014-06-23,37.380001,37.490002,37.070000,37.230000,32.154503,5863600
2014-06-24,37.189999,37.430000,37.070000,37.139999,32.076752,6102400
2014-06-25,37.130001,37.169998,36.959999,37.110001,32.050846,8466800
2014-06-26,37.389999,37.770000,37.150002,37.630001,32.623032,10695600
2014-06-27,37.430000,37.580002,37.139999,37.299999,32.336941,10622800
2014-06-30,37.169998,37.810001,37.029999,37.610001,32.605686,7748100
2014-07-01,37.810001,38.070000,37.549999,37.869999,32.831093,5801500
2014-07-02,37.889999,37.939999,37.590000,37.910000,32.865772,4771400
2014-07-03,38.200001,38.290001,37.740002,37.970001,32.917793,3084900
2014-07-07,37.970001,37.990002,37.770000,37.950001,32.900448,3930700
2014-07-08,37.810001,38.389999,37.810001,38.080002,33.013161,7012400
2014-07-09,38.150002,38.450001,37.980000,38.009998,32.952477,7640700
2014-07-10,37.779999,38.049999,37.689999,37.990002,32.935131,4420800
2014-07-11,37.759998,39.540001,37.759998,38.419998,33.307899,13163000
2014-07-14,38.650002,38.750000,38.340000,38.560001,33.429295,7135700
2014-07-15,38.439999,38.610001,38.080002,38.099998,33.030495,7359900
2014-07-16,38.119999,38.310001,38.000000,38.139999,33.065178,5971700
2014-07-17,37.900002,38.169998,37.840000,37.990002,32.935131,6388100
2014-07-18,38.099998,38.500000,37.959999,38.480000,33.359928,6069600
2014-07-21,38.020000,38.480000,38.020000,38.270000,33.177868,5076300
2014-07-22,38.320000,38.630001,38.320000,38.509998,33.385941,5438800
2014-07-23,38.540001,38.610001,38.270000,38.290001,33.195210,4353100
2014-07-24,38.340000,38.470001,38.200001,38.310001,33.212551,4430300
2014-07-25,38.290001,38.310001,38.040001,38.180000,33.099854,4398400
2014-07-28,38.320000,38.330002,37.990002,38.220001,33.134533,4912600
2014-07-29,38.299999,38.389999,37.980000,38.009998,32.952477,4310200
2014-07-30,38.169998,38.180000,36.959999,36.970001,32.050842,9331900
2014-07-31,36.619999,36.790001,35.980000,36.020000,31.227262,8907300
