AUD/USD;
Date;Clôture
06/01/2014; $0,90 
07/01/2014; $0,89 
08/01/2014; $0,89 
09/01/2014; $0,89 
10/01/2014; $0,90 
13/01/2014; $0,91 
14/01/2014; $0,90 
15/01/2014; $0,89 
16/01/2014; $0,88 
17/01/2014; $0,88 
20/01/2014; $0,88 
21/01/2014; $0,88 
22/01/2014; $0,89 
23/01/2014; $0,88 
24/01/2014; $0,87 
27/01/2014; $0,87 
28/01/2014; $0,88 
29/01/2014; $0,87 
30/01/2014; $0,88 
31/01/2014; $0,88 
03/02/2014; $0,87 
04/02/2014; $0,89 
05/02/2014; $0,89 
06/02/2014; $0,90 
07/02/2014; $0,90 
10/02/2014; $0,89 
11/02/2014; $0,90 
12/02/2014; $0,90 
13/02/2014; $0,90 
14/02/2014; $0,90 
17/02/2014; $0,90 
18/02/2014; $0,90 
19/02/2014; $0,90 
20/02/2014; $0,90 
21/02/2014; $0,90 
24/02/2014; $0,90 
25/02/2014; $0,90 
26/02/2014; $0,90 
27/02/2014; $0,90 
28/02/2014; $0,89 
03/03/2014; $0,89 
04/03/2014; $0,89 
05/03/2014; $0,90 
06/03/2014; $0,91 
07/03/2014; $0,91 
10/03/2014; $0,90 
11/03/2014; $0,90 
12/03/2014; $0,90 
13/03/2014; $0,90 
14/03/2014; $0,90 
17/03/2014; $0,91 
18/03/2014; $0,91 
19/03/2014; $0,90 
20/03/2014; $0,90 
21/03/2014; $0,91 
24/03/2014; $0,91 
25/03/2014; $0,92 
26/03/2014; $0,92 
27/03/2014; $0,93 
28/03/2014; $0,92 
31/03/2014; $0,93 
01/04/2014; $0,92 
02/04/2014; $0,92 
03/04/2014; $0,92 
04/04/2014; $0,93 
07/04/2014; $0,93 
08/04/2014; $0,94 
09/04/2014; $0,94 
10/04/2014; $0,94 
11/04/2014; $0,94 
14/04/2014; $0,94 
15/04/2014; $0,94 
16/04/2014; $0,94 
17/04/2014; $0,93 
18/04/2014; $0,93 
21/04/2014; $0,93 
22/04/2014; $0,94 
23/04/2014; $0,93 
24/04/2014; $0,93 
25/04/2014; $0,93 
28/04/2014; $0,93 
29/04/2014; $0,93 
30/04/2014; $0,93 
01/05/2014; $0,93 
02/05/2014; $0,93 
05/05/2014; $0,93 
06/05/2014; $0,93 
07/05/2014; $0,93 
08/05/2014; $0,94 
09/05/2014; $0,94 
12/05/2014; $0,94 
13/05/2014; $0,94 
14/05/2014; $0,94 
15/05/2014; $0,94 
16/05/2014; $0,94 
19/05/2014; $0,93 
20/05/2014; $0,92 
21/05/2014; $0,92 
22/05/2014; $0,92 
23/05/2014; $0,92 
26/05/2014; $0,92 
27/05/2014; $0,93 
28/05/2014; $0,92 
29/05/2014; $0,93 
30/05/2014; $0,93 
02/06/2014; $0,92 
03/06/2014; $0,93 
04/06/2014; $0,93 
05/06/2014; $0,93 
06/06/2014; $0,93 
09/06/2014; $0,94 
10/06/2014; $0,94 
11/06/2014; $0,94 
12/06/2014; $0,94 
