EUR/GBP;
Date;Clôture
06/01/2014; £0,83 
07/01/2014; £0,83 
08/01/2014; £0,83 
09/01/2014; £0,83 
10/01/2014; £0,83 
13/01/2014; £0,83 
14/01/2014; £0,83 
15/01/2014; £0,83 
16/01/2014; £0,83 
17/01/2014; £0,82 
20/01/2014; £0,82 
21/01/2014; £0,82 
22/01/2014; £0,82 
23/01/2014; £0,82 
24/01/2014; £0,83 
27/01/2014; £0,82 
28/01/2014; £0,82 
29/01/2014; £0,82 
30/01/2014; £0,82 
31/01/2014; £0,82 
03/02/2014; £0,83 
04/02/2014; £0,83 
05/02/2014; £0,83 
06/02/2014; £0,83 
07/02/2014; £0,83 
10/02/2014; £0,83 
11/02/2014; £0,83 
12/02/2014; £0,82 
13/02/2014; £0,82 
14/02/2014; £0,82 
17/02/2014; £0,82 
18/02/2014; £0,82 
19/02/2014; £0,82 
20/02/2014; £0,82 
21/02/2014; £0,83 
24/02/2014; £0,82 
25/02/2014; £0,82 
26/02/2014; £0,82 
27/02/2014; £0,82 
28/02/2014; £0,82 
03/03/2014; £0,82 
04/03/2014; £0,82 
05/03/2014; £0,82 
06/03/2014; £0,83 
07/03/2014; £0,83 
10/03/2014; £0,83 
11/03/2014; £0,83 
12/03/2014; £0,84 
13/03/2014; £0,83 
14/03/2014; £0,84 
17/03/2014; £0,84 
18/03/2014; £0,84 
19/03/2014; £0,84 
20/03/2014; £0,83 
21/03/2014; £0,84 
24/03/2014; £0,84 
25/03/2014; £0,84 
26/03/2014; £0,83 
27/03/2014; £0,83 
28/03/2014; £0,83 
31/03/2014; £0,83 
01/04/2014; £0,83 
02/04/2014; £0,83 
03/04/2014; £0,83 
04/04/2014; £0,83 
07/04/2014; £0,83 
08/04/2014; £0,82 
09/04/2014; £0,82 
10/04/2014; £0,83 
11/04/2014; £0,83 
14/04/2014; £0,83 
15/04/2014; £0,83 
16/04/2014; £0,82 
17/04/2014; £0,82 
18/04/2014; £0,82 
21/04/2014; £0,82 
22/04/2014; £0,82 
23/04/2014; £0,82 
24/04/2014; £0,82 
25/04/2014; £0,82 
28/04/2014; £0,82 
29/04/2014; £0,82 
30/04/2014; £0,82 
01/05/2014; £0,82 
02/05/2014; £0,82 
05/05/2014; £0,82 
06/05/2014; £0,82 
07/05/2014; £0,82 
08/05/2014; £0,82 
09/05/2014; £0,82 
12/05/2014; £0,82 
13/05/2014; £0,81 
14/05/2014; £0,82 
15/05/2014; £0,82 
16/05/2014; £0,81 
19/05/2014; £0,82 
20/05/2014; £0,81 
21/05/2014; £0,81 
22/05/2014; £0,81 
23/05/2014; £0,81 
26/05/2014; £0,81 
27/05/2014; £0,81 
28/05/2014; £0,81 
29/05/2014; £0,81 
30/05/2014; £0,81 
02/06/2014; £0,81 
03/06/2014; £0,81 
04/06/2014; £0,81 
05/06/2014; £0,81 
06/06/2014; £0,81 
09/06/2014; £0,81 
10/06/2014; £0,81 
11/06/2014; £0,81 
12/06/2014; £0,80 
13/06/2014; £0,80 
16/06/2014; £0,80 
17/06/2014; £0,80 
18/06/2014; £0,80 
19/06/2014; £0,80 
20/06/2014; £0,80 
23/06/2014; £0,80 
24/06/2014; £0,80 
25/06/2014; £0,80 
26/06/2014; £0,80 
27/06/2014; £0,80 
30/06/2014; £0,80 
01/07/2014; £0,80 
02/07/2014; £0,80 
03/07/2014; £0,79 
04/07/2014; £0,79 
07/07/2014; £0,79 
08/07/2014; £0,79 
09/07/2014; £0,80 
10/07/2014; £0,79 
11/07/2014; £0,79 
14/07/2014; £0,80 
15/07/2014; £0,79 
16/07/2014; £0,79 
17/07/2014; £0,79 
18/07/2014; £0,79 
21/07/2014; £0,79 
22/07/2014; £0,79 
23/07/2014; £0,79 
24/07/2014; £0,79 
25/07/2014; £0,79 
28/07/2014; £0,79 
29/07/2014; £0,79 
30/07/2014; £0,79 
31/07/2014; £0,79 
01/08/2014; £0,80 
04/08/2014; £0,80 
05/08/2014; £0,79 
06/08/2014; £0,79 
07/08/2014; £0,79 
08/08/2014; £0,80 
11/08/2014; £0,80 
12/08/2014; £0,80 
13/08/2014; £0,80 
14/08/2014; £0,80 
15/08/2014; £0,80 
18/08/2014; £0,80 
19/08/2014; £0,80 
20/08/2014; £0,80 
21/08/2014; £0,80 
22/08/2014; £0,80 
25/08/2014; £0,80 
26/08/2014; £0,80 
27/08/2014; £0,80 
28/08/2014; £0,79 
29/08/2014; £0,79 
01/09/2014; £0,79 
02/09/2014; £0,80 
03/09/2014; £0,80 
04/09/2014; £0,79 
05/09/2014; £0,79 
08/09/2014; £0,80 
09/09/2014; £0,80 
10/09/2014; £0,80 
11/09/2014; £0,80 
12/09/2014; £0,80 
15/09/2014; £0,80 
16/09/2014; £0,80 
17/09/2014; £0,79 
18/09/2014; £0,79 
19/09/2014; £0,79 
22/09/2014; £0,79 
23/09/2014; £0,78 
24/09/2014; £0,78 
25/09/2014; £0,78 
26/09/2014; £0,78 
29/09/2014; £0,78 
30/09/2014; £0,78 
01/10/2014; £0,78 
02/10/2014; £0,78 
03/10/2014; £0,78 
06/10/2014; £0,79 
07/10/2014; £0,79 
08/10/2014; £0,79 
09/10/2014; £0,79 
10/10/2014; £0,79 
13/10/2014; £0,79 
14/10/2014; £0,80 
15/10/2014; £0,80 
16/10/2014; £0,80 
17/10/2014; £0,79 
20/10/2014; £0,79 
21/10/2014; £0,79 
22/10/2014; £0,79 
23/10/2014; £0,79 
24/10/2014; £0,79 
27/10/2014; £0,79 
28/10/2014; £0,79 
29/10/2014; £0,79 
30/10/2014; £0,79 
31/10/2014; £0,78 
03/11/2014; £0,78 
04/11/2014; £0,78 
05/11/2014; £0,78 
06/11/2014; £0,78 
07/11/2014; £0,78 
10/11/2014; £0,78 
11/11/2014; £0,78 
12/11/2014; £0,79 
13/11/2014; £0,79 
14/11/2014; £0,80 
17/11/2014; £0,80 
18/11/2014; £0,80 
19/11/2014; £0,80 
20/11/2014; £0,80 
21/11/2014; £0,79 
24/11/2014; £0,79 
25/11/2014; £0,79 
26/11/2014; £0,79 
27/11/2014; £0,79 
28/11/2014; £0,80 
01/12/2014; £0,79 
02/12/2014; £0,79 
03/12/2014; £0,78 
04/12/2014; £0,79 
05/12/2014; £0,79 
08/12/2014; £0,79 
09/12/2014; £0,79 
10/12/2014; £0,79 
11/12/2014; £0,79 
12/12/2014; £0,79 
15/12/2014; £0,80 
16/12/2014; £0,79 
17/12/2014; £0,79 
18/12/2014; £0,78 
19/12/2014; £0,78 
22/12/2014; £0,78 
23/12/2014; £0,78 
24/12/2014; £0,78 
25/12/2014; £0,79 
26/12/2014; £0,78 
29/12/2014; £0,78 
30/12/2014; £0,78 
31/12/2014; £0,78 
01/01/2015; £0,78 
02/01/2015; £0,78 
05/01/2015; £0,78 
06/01/2015; £0,78 
07/01/2015; £0,78 
08/01/2015; £0,78 
09/01/2015; £0,78 
12/01/2015; £0,78 
13/01/2015; £0,78 
14/01/2015; £0,77 
15/01/2015; £0,77 
16/01/2015; £0,76 
19/01/2015; £0,77 
20/01/2015; £0,76 
21/01/2015; £0,77 
22/01/2015; £0,76 
23/01/2015; £0,75 
26/01/2015; £0,75 
27/01/2015; £0,75 
28/01/2015; £0,75 
29/01/2015; £0,75 
30/01/2015; £0,75 
02/02/2015; £0,75 
03/02/2015; £0,76 
04/02/2015; £0,75 
05/02/2015; £0,75 
06/02/2015; £0,74 
09/02/2015; £0,74 
10/02/2015; £0,74 
11/02/2015; £0,74 
12/02/2015; £0,74 
13/02/2015; £0,74 
16/02/2015; £0,74 
17/02/2015; £0,74 
18/02/2015; £0,74 
19/02/2015; £0,74 
20/02/2015; £0,74 
23/02/2015; £0,73 
24/02/2015; £0,73 
25/02/2015; £0,73 
26/02/2015; £0,73 
27/02/2015; £0,73 
02/03/2015; £0,73 
03/03/2015; £0,73 
04/03/2015; £0,73 
05/03/2015; £0,72 
06/03/2015; £0,72 
09/03/2015; £0,72 
10/03/2015; £0,71 
11/03/2015; £0,71 
12/03/2015; £0,71 
13/03/2015; £0,71 
16/03/2015; £0,71 
17/03/2015; £0,72 
18/03/2015; £0,73 
19/03/2015; £0,72 
20/03/2015; £0,72 
23/03/2015; £0,73 
24/03/2015; £0,74 
25/03/2015; £0,74 
26/03/2015; £0,73 
27/03/2015; £0,73 
30/03/2015; £0,73 
31/03/2015; £0,72 
01/04/2015; £0,73 
02/04/2015; £0,73 
03/04/2015; £0,74 
06/04/2015; £0,73 
07/04/2015; £0,73 
08/04/2015; £0,72 
09/04/2015; £0,72 
10/04/2015; £0,72 
13/04/2015; £0,72 
14/04/2015; £0,72 
15/04/2015; £0,72 
16/04/2015; £0,72 
17/04/2015; £0,72 
20/04/2015; £0,72 
21/04/2015; £0,72 
22/04/2015; £0,71 
23/04/2015; £0,72 
24/04/2015; £0,72 
27/04/2015; £0,71 
28/04/2015; £0,72 
29/04/2015; £0,72 
30/04/2015; £0,73 
01/05/2015; £0,74 
04/05/2015; £0,74 
05/05/2015; £0,74 
06/05/2015; £0,74 
07/05/2015; £0,74 
08/05/2015; £0,72 
11/05/2015; £0,72 
12/05/2015; £0,72 
13/05/2015; £0,72 
14/05/2015; £0,72 
15/05/2015; £0,73 
18/05/2015; £0,72 
19/05/2015; £0,72 
20/05/2015; £0,71 
21/05/2015; £0,71 
22/05/2015; £0,71 
25/05/2015; £0,71 
26/05/2015; £0,71 
27/05/2015; £0,71 
28/05/2015; £0,71 
29/05/2015; £0,72 
01/06/2015; £0,72 
02/06/2015; £0,73 
03/06/2015; £0,73 
04/06/2015; £0,73 
05/06/2015; £0,73 
08/06/2015; £0,74 
09/06/2015; £0,73 
10/06/2015; £0,73 
11/06/2015; £0,73 
12/06/2015; £0,72 
15/06/2015; £0,72 
16/06/2015; £0,72 
17/06/2015; £0,72 
18/06/2015; £0,72 
19/06/2015; £0,71 
