EUR/JPY;
Date;Clôture
06/01/2014; ¥142,01 
07/01/2014; ¥142,41 
08/01/2014; ¥142,33 
09/01/2014; ¥142,62 
10/01/2014; ¥142,30 
13/01/2014; ¥140,78 
14/01/2014; ¥142,54 
15/01/2014; ¥142,22 
16/01/2014; ¥142,12 
17/01/2014; ¥141,20 
20/01/2014; ¥141,14 
21/01/2014; ¥141,42 
22/01/2014; ¥141,57 
23/01/2014; ¥141,39 
24/01/2014; ¥139,87 
27/01/2014; ¥140,17 
28/01/2014; ¥140,71 
29/01/2014; ¥139,73 
30/01/2014; ¥139,21 
31/01/2014; ¥137,59 
03/02/2014; ¥136,55 
04/02/2014; ¥137,40 
05/02/2014; ¥137,28 
06/02/2014; ¥138,71 
07/02/2014; ¥139,51 
10/02/2014; ¥139,50 
11/02/2014; ¥139,95 
12/02/2014; ¥139,35 
13/02/2014; ¥139,73 
14/02/2014; ¥139,32 
17/02/2014; ¥139,65 
18/02/2014; ¥140,80 
19/02/2014; ¥140,49 
20/02/2014; ¥140,28 
21/02/2014; ¥140,83 
24/02/2014; ¥140,77 
25/02/2014; ¥140,50 
26/02/2014; ¥140,09 
27/02/2014; ¥139,97 
28/02/2014; ¥140,50 
03/03/2014; ¥139,30 
04/03/2014; ¥140,44 
05/03/2014; ¥140,48 
06/03/2014; ¥142,82 
07/03/2014; ¥143,27 
10/03/2014; ¥143,27 
11/03/2014; ¥142,75 
12/03/2014; ¥142,85 
13/03/2014; ¥141,22 
14/03/2014; ¥141,00 
17/03/2014; ¥141,65 
18/03/2014; ¥141,32 
19/03/2014; ¥141,54 
20/03/2014; ¥141,06 
21/03/2014; ¥140,99 
24/03/2014; ¥141,47 
25/03/2014; ¥141,36 
26/03/2014; ¥140,62 
27/03/2014; ¥140,37 
28/03/2014; ¥141,38 
31/03/2014; ¥142,09 
01/04/2014; ¥142,94 
02/04/2014; ¥142,96 
03/04/2014; ¥142,54 
04/04/2014; ¥141,51 
07/04/2014; ¥141,65 
08/04/2014; ¥140,41 
09/04/2014; ¥141,28 
10/04/2014; ¥140,97 
11/04/2014; ¥141,08 
14/04/2014; ¥140,69 
15/04/2014; ¥140,76 
16/04/2014; ¥141,21 
17/04/2014; ¥141,43 
18/04/2014; ¥141,43 
21/04/2014; ¥141,51 
22/04/2014; ¥141,62 
23/04/2014; ¥141,66 
24/04/2014; ¥141,48 
25/04/2014; ¥141,28 
28/04/2014; ¥141,92 
29/04/2014; ¥141,71 
30/04/2014; ¥141,77 
01/05/2014; ¥141,91 
02/05/2014; ¥141,72 
05/05/2014; ¥141,70 
06/05/2014; ¥141,58 
07/05/2014; ¥141,75 
08/05/2014; ¥140,68 
09/05/2014; ¥140,12 
12/05/2014; ¥140,46 
13/05/2014; ¥140,10 
14/05/2014; ¥139,70 
15/05/2014; ¥139,24 
16/05/2014; ¥138,96 
19/05/2014; ¥139,11 
20/05/2014; ¥138,81 
21/05/2014; ¥138,71 
22/05/2014; ¥138,89 
23/05/2014; ¥139,00 
26/05/2014; ¥139,10 
27/05/2014; ¥139,01 
28/05/2014; ¥138,38 
29/05/2014; ¥138,44 
30/05/2014; ¥138,73 
02/06/2014; ¥139,15 
03/06/2014; ¥139,65 
04/06/2014; ¥139,69 
05/06/2014; ¥139,83 
06/06/2014; ¥139,78 
09/06/2014; ¥139,35 
10/06/2014; ¥138,65 
11/06/2014; ¥138,11 
12/06/2014; ¥137,81 
13/06/2014; ¥138,20 
16/06/2014; ¥138,21 
17/06/2014; ¥138,35 
18/06/2014; ¥138,55 
19/06/2014; ¥138,68 
20/06/2014; ¥138,79 
23/06/2014; ¥138,66 
24/06/2014; ¥138,73 
25/06/2014; ¥138,82 
26/06/2014; ¥138,46 
27/06/2014; ¥138,33 
30/06/2014; ¥138,69 
01/07/2014; ¥138,87 
02/07/2014; ¥139,01 
03/07/2014; ¥139,07 
04/07/2014; ¥138,78 
07/07/2014; ¥138,52 
08/07/2014; ¥138,26 
09/07/2014; ¥138,65 
10/07/2014; ¥137,90 
11/07/2014; ¥137,93 
14/07/2014; ¥138,27 
15/07/2014; ¥137,99 
