GBP/JPY;
Date;Clôture
06/01/2014; ¥170,95 
07/01/2014; ¥171,55 
08/01/2014; ¥172,45 
09/01/2014; ¥172,73 
10/01/2014; ¥171,58 
13/01/2014; ¥168,70 
14/01/2014; ¥171,28 
15/01/2014; ¥171,13 
16/01/2014; ¥170,63 
17/01/2014; ¥171,25 
20/01/2014; ¥171,12 
21/01/2014; ¥171,83 
22/01/2014; ¥173,21 
23/01/2014; ¥171,77 
24/01/2014; ¥168,57 
27/01/2014; ¥170,05 
28/01/2014; ¥170,66 
29/01/2014; ¥169,38 
30/01/2014; ¥169,29 
31/01/2014; ¥167,66 
03/02/2014; ¥164,62 
04/02/2014; ¥165,92 
05/02/2014; ¥165,41 
06/02/2014; ¥166,59 
07/02/2014; ¥167,91 
10/02/2014; ¥167,67 
11/02/2014; ¥168,81 
12/02/2014; ¥170,12 
13/02/2014; ¥170,15 
14/02/2014; ¥170,40 
17/02/2014; ¥170,28 
18/02/2014; ¥170,75 
19/02/2014; ¥170,63 
20/02/2014; ¥170,26 
21/02/2014; ¥170,33 
24/02/2014; ¥170,72 
25/02/2014; ¥170,49 
26/02/2014; ¥170,64 
27/02/2014; ¥170,38 
28/02/2014; ¥170,44 
03/03/2014; ¥169,03 
04/03/2014; ¥170,29 
05/03/2014; ¥171,02 
06/03/2014; ¥172,49 
07/03/2014; ¥172,56 
10/03/2014; ¥171,85 
11/03/2014; ¥171,13 
12/03/2014; ¥170,75 
13/03/2014; ¥169,28 
14/03/2014; ¥168,66 
17/03/2014; ¥169,26 
18/03/2014; ¥168,29 
19/03/2014; ¥169,26 
20/03/2014; ¥168,96 
21/03/2014; ¥168,52 
24/03/2014; ¥168,64 
25/03/2014; ¥168,99 
26/03/2014; ¥169,23 
27/03/2014; ¥169,70 
28/03/2014; ¥171,03 
31/03/2014; ¥171,94 
01/04/2014; ¥172,34 
02/04/2014; ¥172,65 
03/04/2014; ¥172,46 
04/04/2014; ¥171,22 
07/04/2014; ¥171,20 
08/04/2014; ¥170,46 
09/04/2014; ¥171,23 
10/04/2014; ¥170,36 
11/04/2014; ¥170,01 
14/04/2014; ¥170,32 
15/04/2014; ¥170,48 
16/04/2014; ¥171,69 
17/04/2014; ¥171,91 
18/04/2014; ¥172,07 
21/04/2014; ¥172,28 
22/04/2014; ¥172,59 
23/04/2014; ¥172,05 
24/04/2014; ¥171,89 
25/04/2014; ¥171,64 
28/04/2014; ¥172,24 
29/04/2014; ¥172,64 
30/04/2014; ¥172,48 
01/05/2014; ¥172,83 
02/05/2014; ¥172,33 
05/05/2014; ¥172,23 
06/05/2014; ¥172,56 
07/05/2014; ¥172,74 
08/05/2014; ¥172,10 
09/05/2014; ¥171,61 
12/05/2014; ¥172,23 
13/05/2014; ¥172,04 
14/05/2014; ¥170,80 
15/05/2014; ¥170,49 
16/05/2014; ¥170,64 
19/05/2014; ¥170,61 
20/05/2014; ¥170,59 
21/05/2014; ¥171,27 
22/05/2014; ¥171,58 
23/05/2014; ¥171,64 
26/05/2014; ¥171,67 
27/05/2014; ¥171,40 
28/05/2014; ¥170,16 
29/05/2014; ¥170,14 
30/05/2014; ¥170,48 
02/06/2014; ¥171,40 
03/06/2014; ¥171,68 
04/06/2014; ¥171,95 
05/06/2014; ¥172,20 
06/06/2014; ¥172,15 
09/06/2014; ¥172,23 
10/06/2014; ¥171,49 
11/06/2014; ¥171,33 
12/06/2014; ¥172,17 
13/06/2014; ¥173,11 
16/06/2014; ¥172,93 
17/06/2014; ¥173,26 
18/06/2014; ¥173,17 
19/06/2014; ¥173,61 
20/06/2014; ¥173,60 
23/06/2014; ¥173,54 
24/06/2014; ¥173,19 
25/06/2014; ¥172,99 
26/06/2014; ¥173,20 
27/06/2014; ¥172,65 
30/06/2014; ¥173,26 
01/07/2014; ¥174,09 
02/07/2014; ¥174,67 
03/07/2014; ¥175,27 
04/07/2014; ¥175,18 
07/07/2014; ¥174,38 
08/07/2014; ¥173,99 
09/07/2014; ¥174,34 
10/07/2014; ¥173,58 
11/07/2014; ¥173,55 
14/07/2014; ¥173,44 
15/07/2014; ¥174,29 
16/07/2014; ¥174,22 
17/07/2014; ¥172,95 
18/07/2014; ¥173,12 
21/07/2014; ¥173,11 
22/07/2014; ¥173,12 
23/07/2014; ¥172,93 
24/07/2014; ¥172,91 
25/07/2014; ¥172,81 
28/07/2014; ¥172,96 
29/07/2014; ¥173,00 
