Date,Open,High,Low,Close,Adj Close,Volume
2014-01-31,0.660880,0.664760,0.658410,0.661000,0.661000,0
2014-02-03,0.666400,0.670600,0.665330,0.666480,0.666480,0
2014-02-04,0.665650,0.668320,0.665000,0.665490,0.665490,0
2014-02-05,0.667290,0.670020,0.664230,0.667370,0.667370,0
2014-02-06,0.666690,0.670430,0.660280,0.666700,0.666700,0
2014-02-07,0.664420,0.670570,0.663480,0.664570,0.664570,0
2014-02-10,0.665030,0.665650,0.663020,0.665040,0.665040,0
2014-02-11,0.662600,0.663310,0.659240,0.662780,0.662780,0
2014-02-12,0.665780,0.670950,0.665040,0.665890,0.665890,0
2014-02-13,0.669040,0.669560,0.663200,0.668950,0.668950,0
2014-02-14,0.665850,0.667730,0.664670,0.665750,0.665750,0
2014-02-17,0.664980,0.666400,0.664080,0.665010,0.665010,0
2014-02-18,0.665820,0.666750,0.662310,0.665830,0.665830,0
2014-02-19,0.663390,0.666400,0.657750,0.663420,0.663420,0
2014-02-20,0.657570,0.659940,0.655720,0.657640,0.657640,0
2014-02-21,0.656320,0.656390,0.652020,0.656240,0.656240,0
2014-02-24,0.654720,0.658410,0.652830,0.654820,0.654820,0
2014-02-25,0.658170,0.658410,0.655510,0.658120,0.658120,0
2014-02-26,0.656230,0.659410,0.655520,0.656180,0.656180,0
2014-02-27,0.656080,0.656590,0.655050,0.656040,0.656040,0
2014-02-28,0.655640,0.656530,0.650520,0.655810,0.655810,0
2014-03-03,0.656030,0.657490,0.653810,0.655910,0.655910,0
2014-03-04,0.656900,0.657550,0.654810,0.656780,0.656780,0
2014-03-05,0.656070,0.659530,0.656020,0.656210,0.656210,0
2014-03-06,0.660060,0.660520,0.656540,0.660100,0.660100,0
2014-03-07,0.656410,0.656410,0.649940,0.656340,0.656340,0
2014-03-10,0.649770,0.649770,0.646620,0.649690,0.649690,0
2014-03-11,0.648210,0.651000,0.648090,0.648130,0.648130,0
2014-03-12,0.649430,0.650240,0.644950,0.649430,0.649430,0
2014-03-13,0.646760,0.649320,0.646510,0.646770,0.646770,0
2014-03-14,0.651000,0.651510,0.646620,0.650860,0.650860,0
2014-03-17,0.647790,0.651700,0.647330,0.647770,0.647770,0
2014-03-18,0.649290,0.651930,0.648580,0.649150,0.649150,0
2014-03-19,0.644950,0.645820,0.641640,0.644890,0.644890,0
2014-03-20,0.643430,0.645560,0.641850,0.643460,0.643460,0
2014-03-21,0.645270,0.648620,0.643760,0.645280,0.645280,0
2014-03-24,0.645540,0.648130,0.643310,0.645490,0.645490,0
2014-03-25,0.645250,0.649650,0.644540,0.645230,0.645230,0
2014-03-26,0.647870,0.651300,0.647870,0.648190,0.648190,0
2014-03-27,0.653520,0.657710,0.653270,0.653590,0.653590,0
2014-03-28,0.659540,0.662950,0.656810,0.659680,0.659680,0
2014-03-31,0.658090,0.659120,0.655090,0.657780,0.657780,0
2014-04-01,0.656850,0.657250,0.654480,0.656650,0.656650,0
2014-04-02,0.657190,0.659410,0.655840,0.657090,0.657090,0
2014-04-03,0.658490,0.663060,0.657380,0.658410,0.658410,0
2014-04-04,0.660180,0.666270,0.660160,0.660280,0.660280,0
2014-04-07,0.664360,0.665390,0.661160,0.664560,0.664560,0
2014-04-08,0.662780,0.665060,0.661830,0.662870,0.662870,0
2014-04-09,0.663130,0.664360,0.662030,0.663390,0.663390,0
2014-04-10,0.663350,0.663920,0.659290,0.663010,0.663010,0
2014-04-11,0.658700,0.659300,0.656180,0.658580,0.658580,0
2014-04-14,0.657950,0.661160,0.656660,0.657770,0.657770,0
2014-04-15,0.659810,0.659910,0.657590,0.659860,0.659860,0
2014-04-16,0.659010,0.659280,0.655860,0.658830,0.658830,0
2014-04-17,0.656860,0.657850,0.654660,0.656840,0.656840,0
2014-04-18,0.657590,0.658010,0.656290,0.657580,0.657580,0
2014-04-21,0.656650,0.658030,0.655790,0.656640,0.656640,0
2014-04-22,0.657730,0.658300,0.656380,0.657850,0.657850,0
2014-04-23,0.656640,0.656840,0.653810,0.656600,0.656600,0
2014-04-24,0.655970,0.657480,0.654540,0.655910,0.655910,0
2014-04-25,0.655820,0.656120,0.654240,0.655780,0.655780,0
2014-04-28,0.654870,0.656070,0.653380,0.654660,0.654660,0
2014-04-29,0.654670,0.660550,0.653870,0.654670,0.654670,0
2014-04-30,0.660890,0.662490,0.657030,0.660850,0.660850,0
2014-05-01,0.657600,0.657760,0.655360,0.657400,0.657400,0
2014-05-02,0.657500,0.659100,0.656380,0.657410,0.657410,0
2014-05-05,0.656650,0.657610,0.655300,0.656630,0.656630,0
2014-05-06,0.657540,0.659400,0.655090,0.657420,0.657420,0
2014-05-07,0.659080,0.660540,0.658110,0.659140,0.659140,0
2014-05-08,0.659530,0.664100,0.656540,0.659540,0.659540,0
2014-05-09,0.666890,0.670450,0.664230,0.666810,0.666810,0
2014-05-12,0.666660,0.667870,0.665890,0.666640,0.666640,0
2014-05-13,0.666930,0.669780,0.664670,0.666930,0.666930,0
2014-05-14,0.668850,0.669810,0.667020,0.668680,0.668680,0
2014-05-15,0.669380,0.674080,0.668940,0.669310,0.669310,0
2014-05-16,0.670160,0.671730,0.669330,0.670140,0.670140,0
2014-05-19,0.671550,0.672040,0.669880,0.671580,0.671580,0
2014-05-20,0.670460,0.671750,0.668720,0.670600,0.670600,0
2014-05-21,0.668780,0.671100,0.668230,0.668780,0.668780,0
2014-05-22,0.669380,0.672190,0.669080,0.669500,0.669500,0
2014-05-23,0.672330,0.675190,0.672120,0.672250,0.672250,0
2014-05-26,0.674910,0.675890,0.674390,0.674890,0.674890,0
2014-05-27,0.674530,0.676410,0.674380,0.674560,0.674560,0
2014-05-28,0.675520,0.677380,0.674990,0.675430,0.675430,0
2014-05-29,0.676610,0.678210,0.675310,0.676680,0.676680,0
2014-05-30,0.678110,0.678920,0.674670,0.678050,0.678050,0
2014-06-02,0.676490,0.677420,0.673580,0.676570,0.676570,0
2014-06-03,0.674530,0.674870,0.671300,0.674580,0.674580,0
2014-06-04,0.672300,0.672590,0.670470,0.672330,0.672330,0
2014-06-05,0.671710,0.677110,0.669760,0.671660,0.671660,0
2014-06-06,0.670180,0.672270,0.668850,0.669990,0.669990,0
2014-06-09,0.670140,0.674690,0.669570,0.670420,0.670420,0
2014-06-10,0.674500,0.677000,0.674080,0.674330,0.674330,0
2014-06-11,0.677570,0.680380,0.677180,0.677510,0.677510,0
2014-06-12,0.679560,0.681470,0.679120,0.679610,0.679610,0
2014-06-13,0.679610,0.680990,0.678200,0.679530,0.679530,0
2014-06-16,0.680180,0.681500,0.678200,0.680240,0.680240,0
2014-06-17,0.678790,0.680360,0.678160,0.678780,0.678780,0
2014-06-18,0.679360,0.679590,0.677280,0.679370,0.679370,0
2014-06-19,0.678890,0.679680,0.676820,0.678910,0.678910,0
2014-06-20,0.679230,0.685010,0.678020,0.679060,0.679060,0
2014-06-23,0.684070,0.686640,0.683950,0.684060,0.684060,0
2014-06-24,0.685180,0.686110,0.683760,0.685010,0.685010,0
2014-06-25,0.683960,0.684550,0.682830,0.683850,0.683850,0
2014-06-26,0.684080,0.687650,0.683880,0.684210,0.684210,0
2014-06-27,0.687010,0.687520,0.685950,0.686810,0.686810,0
2014-06-30,0.687150,0.687220,0.684230,0.687020,0.687020,0
2014-07-01,0.684250,0.686110,0.684020,0.684150,0.684150,0
2014-07-02,0.687060,0.688610,0.686510,0.687160,0.687160,0
2014-07-03,0.686380,0.690950,0.686040,0.686450,0.686450,0
2014-07-04,0.690670,0.692280,0.690370,0.690690,0.690690,0
2014-07-07,0.690550,0.691880,0.688470,0.690880,0.690880,0
2014-07-08,0.687830,0.689420,0.687230,0.687770,0.687770,0
2014-07-09,0.688040,0.689270,0.687050,0.688090,0.688090,0
2014-07-10,0.688140,0.689940,0.687470,0.688120,0.688120,0
2014-07-11,0.690040,0.691270,0.685640,0.690140,0.690140,0
2014-07-14,0.685060,0.685230,0.682360,0.685190,0.685190,0
2014-07-15,0.684900,0.685570,0.683850,0.684960,0.684960,0
2014-07-16,0.684790,0.687620,0.684230,0.684690,0.684690,0
2014-07-17,0.688180,0.689180,0.686580,0.688220,0.688220,0
2014-07-18,0.687180,0.690460,0.686580,0.687190,0.687190,0
2014-07-21,0.688090,0.688830,0.687520,0.688100,0.688100,0
2014-07-22,0.688410,0.691800,0.687990,0.688480,0.688480,0
2014-07-23,0.691350,0.693320,0.690850,0.691300,0.691300,0
2014-07-24,0.692080,0.692870,0.690850,0.692100,0.692100,0
2014-07-25,0.691090,0.692090,0.688450,0.691190,0.691190,0
2014-07-28,0.688620,0.689340,0.687810,0.688620,0.688620,0
2014-07-29,0.688990,0.689120,0.686580,0.688940,0.688940,0
2014-07-30,0.687010,0.687140,0.685170,0.687050,0.687050,0
2014-07-31,0.684250,0.686750,0.683290,0.684220,0.684220,0
2014-08-01,0.684630,0.685640,0.681750,0.684700,0.684700,0
