Date,Open,High,Low,Close,Adj Close,Volume
2014-01-31,1.216400,1.221000,1.213500,1.216600,1.216600,0
2014-02-03,1.218700,1.219000,1.208100,1.218500,1.218500,0
2014-02-04,1.205800,1.209400,1.201100,1.205800,1.205800,0
2014-02-05,1.208030,1.209500,1.200200,1.208000,1.208000,0
2014-02-06,1.205960,1.207400,1.197700,1.206100,1.206100,0
2014-02-07,1.200800,1.206200,1.200370,1.200490,1.200490,0
2014-02-10,1.204700,1.205300,1.200900,1.204800,1.204800,0
2014-02-11,1.201950,1.206400,1.199300,1.202140,1.202140,0
2014-02-12,1.206000,1.220600,1.204800,1.206000,1.206000,0
2014-02-13,1.222200,1.222300,1.215400,1.221900,1.221900,0
2014-02-14,1.217600,1.222800,1.215410,1.217460,1.217460,0
2014-02-17,1.223200,1.225600,1.219380,1.223300,1.223300,0
2014-02-18,1.219760,1.220800,1.213300,1.219820,1.219820,0
2014-02-19,1.212200,1.216000,1.210450,1.212300,1.212300,0
2014-02-20,1.214500,1.217000,1.211330,1.214400,1.214400,0
2014-02-21,1.214200,1.216900,1.211800,1.214050,1.214050,0
2014-02-24,1.210330,1.212900,1.207200,1.210600,1.210600,0
2014-02-25,1.212600,1.215200,1.211200,1.212430,1.212430,0
2014-02-26,1.212900,1.217900,1.212000,1.212900,1.212900,0
2014-02-27,1.218100,1.219600,1.217300,1.217940,1.217940,0
2014-02-28,1.217470,1.220600,1.209390,1.217600,1.217600,0
2014-03-03,1.214800,1.215700,1.212300,1.214300,1.214300,0
2014-03-04,1.213200,1.215100,1.210500,1.213200,1.213200,0
2014-03-05,1.212500,1.218600,1.212300,1.212700,1.212700,0
2014-03-06,1.217100,1.218300,1.206800,1.217000,1.217000,0
2014-03-07,1.207600,1.208400,1.204600,1.207500,1.207500,0
2014-03-10,1.205320,1.205800,1.197380,1.205300,1.205300,0
2014-03-11,1.198900,1.201500,1.197800,1.198900,1.198900,0
2014-03-12,1.199300,1.201000,1.193960,1.199020,1.199020,0
2014-03-13,1.195200,1.197900,1.193290,1.195200,1.195200,0
2014-03-14,1.198580,1.199500,1.193200,1.198800,1.198800,0
2014-03-17,1.196300,1.198700,1.193670,1.196200,1.196200,0
2014-03-18,1.194800,1.195600,1.190400,1.194700,1.194700,0
2014-03-19,1.191300,1.195800,1.190910,1.191100,1.191100,0
2014-03-20,1.196300,1.200400,1.194500,1.196170,1.196170,0
2014-03-21,1.197900,1.198200,1.194300,1.197510,1.197510,0
2014-03-24,1.195400,1.198100,1.193200,1.195050,1.195050,0
2014-03-25,1.192200,1.198800,1.190300,1.191910,1.191910,0
2014-03-26,1.196000,1.201500,1.195400,1.196140,1.196140,0
2014-03-27,1.202270,1.209400,1.201480,1.202410,1.202410,0
2014-03-28,1.208300,1.212500,1.207100,1.208270,1.208270,0
2014-03-31,1.210130,1.210400,1.205000,1.210080,1.210080,0
2014-04-01,1.209700,1.210100,1.203900,1.209550,1.209550,0
2014-04-02,1.205500,1.208800,1.203400,1.205330,1.205330,0
2014-04-03,1.207370,1.210300,1.202600,1.207300,1.207300,0
2014-04-04,1.209400,1.211900,1.208100,1.209400,1.209400,0
2014-04-07,1.209600,1.210000,1.206780,1.209700,1.209700,0
2014-04-08,1.208320,1.214400,1.208210,1.208400,1.208400,0
2014-04-09,1.213870,1.214700,1.211400,1.213880,1.213880,0
2014-04-10,1.212530,1.213300,1.207560,1.212510,1.212510,0
2014-04-11,1.207700,1.207900,1.203200,1.207830,1.207830,0
2014-04-14,1.208000,1.211500,1.207090,1.208000,1.208000,0
2014-04-15,1.210350,1.212500,1.207000,1.210390,1.210390,0
2014-04-16,1.210900,1.216300,1.209400,1.210800,1.210800,0
2014-04-17,1.215400,1.217000,1.212490,1.215300,1.215300,0
2014-04-18,1.215200,1.216000,1.213400,1.215100,1.215100,0
2014-04-21,1.214800,1.217700,1.214800,1.214900,1.214900,0
